order_id,customer_id,order_date,status,payment_method,quantity,unit_price,discount
500078,1001,2026-07-09,delivered,card,2,118.79,0.1
500079,1005,2026-07-09,delivered,card,6,21.64,0.05
500080,1014,2026-07-09,shipped,card,5,33.09,0
500081,1001,2026-07-09,delivered,wallet,2,6.0,0
500082,1039,2026-07-09,delivered,card,6,190.45,0.1
500083,1023,2026-07-09,cancelled,wallet,1,71.89,0.15
500084,1023,2026-07-09,delivered,transfer,4,220.71,0.2
500085,1009,2026-07-09,delivered,wallet,5,125.13,0
500086,1034,2026-07-09,delivered,card,4,164.32,0
500087,1039,2026-07-09,delivered,wallet,3,82.83,0.1
500088,1037,2026-07-09,shipped,card,5,128.19,0.1
500089,1034,2026-07-10,shipped,card,2,73.46,0
500090,1007,2026-07-10,shipped,card,1,30.37,0.15
500091,1025,2026-07-10,cancelled,card,5,130.7,0.05
500092,1020,2026-07-10,cancelled,wallet,3,207.31,0.15
500093,1012,2026-07-10,delivered,transfer,5,36.88,0.05
500094,1040,2026-07-10,delivered,card,2,104.59,0
500095,1013,2026-07-10,delivered,transfer,6,41.47,0.15
500096,1007,2026-07-10,delivered,card,3,15.94,0
500097,1013,2026-07-11,cancelled,card,6,93.99,0.15
500098,1028,2026-07-11,cancelled,card,6,44.57,0.15
500099,1040,2026-07-11,delivered,transfer,1,223.23,0.2
500100,1025,2026-07-11,delivered,transfer,2,216.62,0
500101,1007,2026-07-11,placed,card,5,16.74,0
500102,1023,2026-07-11,delivered,card,5,203.19,0
500103,1010,2026-07-11,delivered,transfer,5,240.86,0.1
500104,1011,2026-07-11,placed,card,3,234.54,0
500105,1033,2026-07-11,delivered,wallet,2,183.03,0.15
500106,1025,2026-07-12,delivered,card,2,60.68,0
500107,1013,2026-07-12,shipped,card,2,142.79,0.1
500108,1016,2026-07-12,delivered,transfer,1,86.61,0.2
500109,1036,2026-07-12,delivered,card,3,92.62,0
500110,1012,2026-07-12,delivered,transfer,6,70.84,0
500111,1024,2026-07-13,delivered,wallet,4,36.51,0.2
500112,1017,2026-07-13,shipped,card,4,226.28,0.2
500113,1031,2026-07-13,delivered,wallet,4,210.76,0.15
500114,1003,2026-07-13,placed,transfer,2,146.98,0
500115,1007,2026-07-13,delivered,card,1,110.68,0.1
500116,1023,2026-07-13,delivered,card,1,77.14,0
500117,1031,2026-07-13,shipped,wallet,2,116.32,0.1
500118,1006,2026-07-14,shipped,transfer,1,158.3,0.1
500119,1015,2026-07-14,placed,card,5,57.37,0
500120,1032,2026-07-14,shipped,card,1,25.02,0.15
500121,1029,2026-07-14,placed,card,5,99.27,0.2
500122,1012,2026-07-14,delivered,transfer,1,6.8,0.15
500123,1015,2026-07-14,returned,transfer,6,191.0,0
500124,1038,2026-07-14,delivered,card,6,202.51,0
500125,1003,2026-07-14,placed,card,1,244.07,0.15
500126,1030,2026-07-14,delivered,card,6,130.24,0
500127,1009,2026-07-15,delivered,card,4,34.71,0
500128,1024,2026-07-15,delivered,transfer,5,133.9,0.15
500129,1025,2026-07-15,delivered,card,6,8.47,0
500130,1021,2026-07-15,delivered,transfer,2,41.92,0.05
500131,1040,2026-07-15,delivered,card,4,155.56,0.15
500132,1025,2026-07-15,delivered,card,5,173.9,0.15
500133,1024,2026-07-15,delivered,transfer,3,191.35,0
500134,1020,2026-07-15,delivered,card,6,83.49,0
500135,1027,2026-07-15,delivered,card,1,148.22,0.15
500136,1012,2026-07-15,shipped,card,1,70.68,0.05
500137,1007,2026-07-15,delivered,card,5,115.89,0
500138,1019,2026-07-16,delivered,card,4,118.32,0.05
500139,1032,2026-07-16,delivered,card,5,55.98,0
500140,1040,2026-07-16,delivered,transfer,1,71.4,0
500141,1026,2026-07-16,shipped,wallet,6,198.15,0.2
500142,1036,2026-07-16,delivered,transfer,4,39.3,0.15
500143,1003,2026-07-16,placed,card,2,147.32,0.2
500144,1004,2026-07-16,delivered,wallet,2,105.42,0
500145,1025,2026-07-16,delivered,card,4,164.21,0
500146,1032,2026-07-16,delivered,card,1,177.7,0.2
500147,1025,2026-07-16,shipped,transfer,6,128.88,0
500148,1027,2026-07-16,placed,transfer,2,103.03,0
500149,1040,2026-07-16,delivered,card,5,87.21,0.05
500150,1012,2026-07-17,shipped,wallet,4,65.66,0.15
500151,1021,2026-07-17,shipped,card,4,136.48,0
500152,1015,2026-07-17,shipped,card,4,82.3,0.15
500153,1007,2026-07-17,delivered,transfer,4,55.59,0
500154,1023,2026-07-17,delivered,wallet,3,150.41,0
500155,1018,2026-07-17,shipped,card,6,97.47,0.1
500156,1002,2026-07-17,delivered,card,4,210.36,0.15
500157,1027,2026-07-18,delivered,transfer,3,205.92,0.15
500158,1007,2026-07-18,delivered,card,4,37.2,0
500159,1001,2026-07-18,shipped,card,2,21.3,0.15
500160,1030,2026-07-18,placed,transfer,6,82.15,0
500161,1011,2026-07-18,placed,transfer,6,98.57,0.1
500162,1039,2026-07-18,returned,card,6,48.35,0
500163,1028,2026-07-19,placed,transfer,6,128.53,0.15
500164,1033,2026-07-19,placed,transfer,2,109.27,0.1
500165,1006,2026-07-19,delivered,card,3,108.41,0
500166,1020,2026-07-19,delivered,card,4,163.39,0
500167,1014,2026-07-19,delivered,card,5,240.45,0
500168,1012,2026-07-19,delivered,transfer,2,49.62,0.2
500169,1034,2026-07-19,delivered,card,6,25.57,0.05
500170,1031,2026-07-19,shipped,wallet,1,10.08,0.1
500171,1039,2026-07-19,shipped,transfer,6,128.92,0.2
500172,1038,2026-07-20,returned,card,6,125.06,0.1
500173,1004,2026-07-20,placed,card,1,228.24,0.15
500174,1015,2026-07-20,shipped,wallet,3,18.27,0
500175,1009,2026-07-20,placed,card,4,143.93,0
500176,1012,2026-07-20,delivered,wallet,5,102.04,0.05
500177,1029,2026-07-20,shipped,wallet,1,78.07,0
500178,1003,2026-07-20,returned,wallet,5,157.01,0
500179,1006,2026-07-20,delivered,card,1,106.59,0.2
500180,1008,2026-07-20,delivered,card,3,143.06,0.05
500181,1038,2026-07-20,delivered,transfer,6,205.18,0.1
500182,1030,2026-07-20,shipped,wallet,3,46.26,0
500183,1030,2026-07-20,placed,card,5,86.11,0
500184,1001,2026-07-21,returned,wallet,5,91.81,0
500185,1023,2026-07-21,delivered,transfer,1,83.52,0
500186,1008,2026-07-21,placed,wallet,6,175.25,0
500187,1001,2026-07-21,delivered,wallet,3,237.77,0.15
500188,1001,2026-07-21,delivered,card,2,97.14,0.2
500189,1011,2026-07-21,shipped,transfer,5,8.04,0.2
500190,1015,2026-07-21,shipped,card,1,105.61,0.2
500191,1033,2026-07-21,placed,card,4,9.74,0
500192,1027,2026-07-21,returned,card,2,4.57,0
500193,1026,2026-07-21,shipped,card,4,121.1,0.05
500194,1028,2026-07-21,placed,card,4,188.05,0
500195,1031,2026-07-22,delivered,wallet,6,34.29,0
500196,1022,2026-07-22,shipped,card,5,5.98,0.2
500197,1027,2026-07-22,placed,wallet,5,232.4,0
500198,1006,2026-07-22,shipped,transfer,5,40.93,0
500199,1002,2026-07-22,delivered,card,1,5.28,0.2
500200,1032,2026-07-22,delivered,card,5,14.6,0.15
500201,1031,2026-07-22,delivered,card,3,119.03,0.1
500202,1037,2026-07-23,delivered,transfer,4,20.25,0
500203,1023,2026-07-23,shipped,card,1,176.58,0
500204,1037,2026-07-23,delivered,transfer,3,201.7,0
500205,1034,2026-07-23,placed,wallet,6,43.03,0.2
500206,1003,2026-07-23,shipped,card,4,44.46,0
500207,1010,2026-07-24,delivered,card,1,144.26,0.1
500208,1013,2026-07-24,delivered,transfer,6,80.72,0
500209,1037,2026-07-24,placed,wallet,4,23.5,0
500210,1018,2026-07-24,cancelled,card,6,77.5,0.1
500211,1032,2026-07-24,delivered,wallet,6,141.0,0.15
500212,1016,2026-07-25,placed,card,1,51.69,0.15
500213,1021,2026-07-25,delivered,transfer,1,91.03,0
500214,1004,2026-07-25,cancelled,transfer,2,216.33,0
500215,1025,2026-07-25,delivered,card,1,199.21,0.1
500216,1032,2026-07-25,delivered,transfer,2,222.53,0.2
500217,1012,2026-07-25,placed,transfer,6,220.32,0.15
500218,1022,2026-07-25,placed,transfer,4,210.5,0
500219,1008,2026-07-25,placed,wallet,4,247.73,0.15
500220,1015,2026-07-25,cancelled,card,3,49.3,0
500221,1033,2026-07-25,delivered,transfer,6,94.8,0.2
500222,1019,2026-07-26,delivered,card,3,22.4,0.1
500223,1021,2026-07-26,delivered,card,5,8.48,0
500224,1007,2026-07-26,delivered,transfer,4,138.58,0
500225,1018,2026-07-26,shipped,card,1,19.79,0
500226,1027,2026-07-26,delivered,wallet,4,193.96,0
500227,1017,2026-07-26,delivered,card,5,19.79,0
500228,1025,2026-07-26,shipped,card,2,105.75,0
500229,1018,2026-07-26,delivered,wallet,6,164.51,0.2
500230,1002,2026-07-27,delivered,transfer,3,105.53,0.2
500231,1023,2026-07-27,placed,wallet,3,78.4,0
500232,1036,2026-07-27,placed,card,2,213.75,0.1
500233,1024,2026-07-27,placed,transfer,1,214.25,0.1
500234,1038,2026-07-27,returned,transfer,4,207.1,0
500235,1031,2026-07-27,delivered,card,1,59.59,0.15
500236,1023,2026-07-28,delivered,card,1,50.38,0
500237,1034,2026-07-28,delivered,transfer,2,15.68,0
500238,1008,2026-07-28,placed,card,3,80.15,0.1
500239,1025,2026-07-28,returned,transfer,4,64.83,0.2
500240,1003,2026-07-28,shipped,card,1,16.92,0.15
500241,1018,2026-07-28,returned,card,4,215.52,0.2
500242,1029,2026-07-29,delivered,transfer,4,183.67,0.05
500243,1006,2026-07-29,delivered,card,2,179.66,0.1
500244,1029,2026-07-29,delivered,card,3,67.66,0
500245,1020,2026-07-29,shipped,card,2,129.52,0
500246,1027,2026-07-29,delivered,transfer,2,160.75,0.15
500247,1038,2026-07-30,cancelled,card,3,13.0,0.05
500248,1039,2026-07-30,delivered,transfer,3,76.41,0
500249,1014,2026-07-30,cancelled,wallet,5,180.58,0.2
500250,1014,2026-07-30,delivered,transfer,4,22.09,0
500251,1027,2026-07-30,placed,card,1,50.06,0
500252,1036,2026-07-30,delivered,card,1,163.27,0.2
500253,1033,2026-07-30,delivered,card,4,243.14,0.1
